modelId,surface
story-ArchiveDrawersClosed,floor
story-ArchiveDrawersOpen,floor
story-Bench,floor
story-Blackboard,wall
story-BlackboardSmall,wall
story-Bookcase,floor
story-Bookcase_books,floor
story-BookcaseBrokenA,floor
story-BookcaseBrokenB,floor
story-CardboardBoxA,floor
story-CardboardBoxA_open,floor
story-CardboardBoxA_open_folders,floor
story-CardboardBoxB_open,floor
story-CardboardBoxB_open_booksC,floor
story-Fan,ceiling
story-LampFluoHangingA_ON,ceiling
story-LampFluoHangingC,ceiling
story-Locker,floor
story-Locker_closedB,floor
story-LockerD,floor
story-Map,wall
story-StudentDesk,floor
story-StudentDeskB,floor
story-StudentDeskBrokenA,floor
story-StudentDeskBrokenB,floor
story-StudentDeskBrokenC,floor
story-StudentDeskBrokenD,floor
story-TeacherChair,floor
story-TeacherTable,floor
story-TeacherTribune,floor
story-Toilet_MirrorA,wall
story-Toilet_MirrorB,wall
story-Toilet_Sink,wall
story-ToiletA,floor
story-ToiletC,floor
story-ToiletCabin,floor
story-ToiletCabin_openable,floor
story-ToiletCabin_static,floor
story-WallInside_4m,floor
story-WallInterior_DoorwayNarrow,floor
story-WallOutside_2f_4m_B,floor
story-WallOutside_2f_4m_WindowDouble_B,floor
story-WallOutside_2f_4m_WindowSingle_B,floor
